fishery_code,year,fishery_name,target,management_area
QH97,1997,korean hair crab,hair crab,bering sea
QH98,1998,bering sea hair crab,hair crab,bering sea
QH99,1999,bering sea korean hair crab,hair crab,bering sea
QN93,1993,bering sea snails,snails,bering sea
QN97,1997,"permit fishery, bering sea snails",snails,bering sea
QO00,2000,bering sea snow crab,snow crab ,bering sea
QO01,2001,bering sea snow crab,snow crab ,bering sea
QO02,2002,bering sea snow crab,snow crab ,bering sea
QO03,2003,bering sea snow crab,snow crab ,bering sea
QO04,2004,bering sea snow crab,snow crab ,bering sea
QO05,2005,bering sea snow crab,snow crab ,bering sea
QO06,2006,bering sea snow crab,snow crab ,bering sea
QO07,2007,bering sea snow crab,snow crab ,bering sea
QO08,2008,bering sea snow crab,snow crab ,bering sea
QO09,2009,bering sea snow crab,snow crab ,bering sea
QO10,2010,bering sea snow crab,snow crab ,bering sea
QO11,2011,bering sea snow crab,snow crab ,bering sea
QO12,2012,bering sea snow crab,snow crab ,bering sea
QO13,2013,bering sea snow crab,snow crab ,bering sea
QO14,2014,bering sea snow crab,snow crab ,bering sea
QO15,2015,bering sea snow crab,snow crab ,bering sea
QO16,2016,bering sea snow crab,snow crab ,bering sea
QO17,2017,bering sea snow crab,snow crab ,bering sea
QO18,2018,bering sea snow crab,snow crab ,bering sea
QO74,1974,bering sea snow crab,snow crab ,bering sea
QO75,1975,bering sea snow crab,snow crab ,bering sea
QO76,1976,bering sea snow crab,snow crab ,bering sea
QO77,1977,bering sea snow crab,snow crab ,bering sea
QO78,1978,bering sea snow crab,snow crab ,bering sea
QO79,1979,bering sea snow crab,snow crab ,bering sea
QO80,1980,bering sea snow crab,snow crab ,bering sea
QO81,1981,bering sea snow crab,snow crab ,bering sea
QO82,1982,bering sea snow crab,snow crab ,bering sea
QO83,1983,bering sea snow crab,snow crab ,bering sea
QO84,1984,bering sea snow crab,snow crab ,bering sea
QO85,1985,bering sea snow crab,snow crab ,bering sea
QO86,1986,bering sea snow crab,snow crab ,bering sea
QO87,1987,bering sea snow crab,snow crab ,bering sea
QO93,1993,bering sea snow crab,snow crab ,bering sea
QO94,1994,bering sea opilio,snow crab,bering sea
QO95,1995,bering sea snow crab,snow crab ,bering sea
QO96,1996,bering sea snow crab,snow crab ,bering sea
QO97,1997,bering sea snow crab,snow crab ,bering sea
QO98,1998,bering sea snow crab,snow crab ,bering sea
QO99,1999,bering sea snow crab,snow crab ,bering sea
QP09,2009,st. matthew blue king crab,blue king crab,bering sea
QP10,2010,st. matthew blue king crab,blue king crab,bering sea
QP11,2011,st. matthew blue king crab,blue king crab,bering sea
QP12,2012,st. matthew blue king crab,blue king crab,bering sea
QP14,2014,st. matthew blue king crab,blue king crab,bering sea
QP15,2015,st. matthew blue king crab,blue king crab,bering sea
QP77,1977,st. matthew blue king crab,blue king crab,bering sea
QP78,1978,st. matthew blue king crab,blue king crab,bering sea
QP79,1979,st. matthew blue king crab,blue king crab,bering sea
QP80,1980,st. matthew blue king crab,blue king crab,bering sea
QP82,1982,st. matthew blue king crab,blue king crab,bering sea
QP83,1983,st. matthew blue king crab,blue king crab,bering sea
QP84,1984,st. matthew blue king crab,blue king crab,bering sea
QP85,1985,st. matthew blue king crab,blue king crab,bering sea
QP86,1986,st. matthew blue king crab,blue king crab,bering sea
QP87,1987,st. matthew blue king crab,blue king crab,bering sea
QP88,1988,st. matthew blue king crab,blue king crab,bering sea
QP89,1989,st. matthew blue king crab,blue king crab,bering sea
QP90,1990,st. matthew blue king crab,blue king crab,bering sea
QP91,1991,st. matthew blue king crab,blue king crab,bering sea
QP92,1992,st. matthew blue king crab,blue king crab,bering sea
QP93,1993,st. matthew blue king crab,blue king crab,bering sea
QP94,1994,st. matthew blue king crab,blue king crab,bering sea
QP95,1995,st. matthew blue king crab,blue king crab,bering sea
QP96,1996,st. matthew/pribs,blue king crab,bering sea
QP97,1997,st. matthew/pribs,blue king crab,bering sea
QP98,1998,st matthew/pribs,blue king crab,bering sea
QR78,1978,pribilof islands king crab,red king crab,bering sea
QR81,1981,pribilof islands king crab,red king crab,bering sea
QR82,1982,pribilof islands king crab,red king crab,bering sea
QR83,1983,pribilof islands king crab,red king crab,bering sea
QR84,1984,pribilof islands king crab,red king crab,bering sea
QR85,1985,pribilof islands king crab,red king crab,bering sea
QR86,1986,pribilof islands king crab,red king crab,bering sea
QR93,1993,pribilof red king crab,red king crab,bering sea
QR94,1994,pribilof red king crab,red king crab,bering sea
QR95,1995,pribilof blue and red king crab,red and blue king crab,bering sea
QR96,1996,pribilof islands king crab,red king crab,bering sea
QR97,1997,pribilof red and blue king crab,red and blue king crab,bering sea
QR98,1998,pribilof islands king crab,red king crab,bering sea
QT05,2005,bering sea tanner crab (b.s. west of 166w),Tanner crab,bering sea
QT06,2006,bering sea tanner crab (b.s. west of 166w),Tanner crab,bering sea
QT07,2007,bering sea tanner crab (b.s. west of 166w),Tanner crab,bering sea
QT08,2008,western bering sea tanner crab,Tanner crab,bering sea
QT13,2013,western bering sea tanner crab,Tanner crab,bering sea
QT14,2014,western bering sea tanner crab,Tanner crab,bering sea
QT15,2015,western bering sea tanner crab,Tanner crab,bering sea
QT17,2017,western bering sea tanner crab,Tanner crab,bering sea
QT18,2018,western bering sea tanner crab,Tanner crab,bering sea
QT75,1975,bering sea bairdi,tanner crab ,bering sea
QT81,1981,bering sea bairdi,tanner crab ,bering sea
QT82,1982,bering sea bairdi,tanner crab ,bering sea
QT83,1983,bering sea bairdi,tanner crab ,bering sea
QT84,1984,bering sea bairdi,tanner crab ,bering sea
QT85,1985,bering sea bairdi,tanner crab ,bering sea
QT88,1988,bering sea bairdi,tanner crab ,bering sea
QT89,1989,bering sea bairdi,tanner crab ,bering sea
QT93,1993,bering sea bairdi,tanner crab ,bering sea
QT94,1994,bering sea bairdi,tanner crab ,bering sea
QT95,1995,bering sea tanner crab,Tanner crab,bering sea
QT96,1996,bering sea tanner crab (b.s. west of 163w),Tanner crab,bering sea
RB09,2009,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB10,2010,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB11,2011,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB12,2012,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB13,2013,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB14,2014,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB15,2015,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB16,2016,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB17,2017,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB18,2018,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB19,2019,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB77,1977,,golden king crab,western aluetian islands
RB79,1979,,golden king crab,western aluetian islands
RB80,1980,,golden king crab,western aluetian islands
RB81,1981,,golden king crab,western aluetian islands
RB82,1982,,golden king crab,western aluetian islands
RB83,1983,,golden king crab,western aluetian islands
RB84,1984,,golden king crab,western aluetian islands
RB85,1985,western aleutian islands golden king crab,golden king crab,western aluetian islands
RB86,1986,,golden king crab,western aluetian islands
RB87,1987,,golden king crab,western aluetian islands
RB88,1988,"adak brown, red and bairdi crab",golden and red king crab and tanner crab,western aluetian islands
RB89,1989,adak brown red and bairdi crab,golden and red king crab and tanner crab,western aluetian islands
RB90,1990,"adak brown, red and bairdi crab",golden and red king crab and tanner crab,western aluetian islands
RB91,1991,"adak brown, red and bairdi crab",golden and red king crab and tanner crab,western aluetian islands
RB92,1992,"adak brown, red and bairdi crab",golden and red king crab and tanner crab,western aluetian islands
RB93,1993,adak brown king & bairdi,golden and red king crab and tanner crab,western aluetian islands
RB94,1994,adak brown king crab,golden king crab,western aluetian islands
RB95,1995,adak brown king crab,golden king crab,western aluetian islands
RC93,1993,adak red king crab,red king crab,western aluetian islands
RC94,1994,adak red king crab,red king crab,western aluetian islands
RC95,1995,adak red king crab,red king crab,western aluetian islands
RC96,1996,adak red king crab,red king crab,western aluetian islands
RG95,1995,adak tanneri,grooverd Tanner crab,western aluetian islands
RG96,1996,adak tanneri,grooverd Tanner crab,western aluetian islands
RH96,1996,adak hair crab,hair crab,western aluetian islands
RK93,1993,adak hair crab (directed fishery),red and blue king crab,western aluetian islands
RR02,2002,adak red king crab survey,red king crab,western aluetian islands
RR09,2009,petrel banks red king crab test fishery,red king crab,western aluetian islands
RR61,1961,,red king crab,western aluetian islands
RR62,1962,adak red king crab,red king crab,western aluetian islands
RR64,1964,,red king crab,western aluetian islands
RR65,1965,,red king crab,western aluetian islands
RR72,1972,,red king crab,western aluetian islands
RR73,1973,adak red king crab,red king crab,western aluetian islands
RR74,1974,,red king crab,western aluetian islands
RR75,1975,,red king crab,western aluetian islands
RR77,1977,,red king crab,western aluetian islands
RR78,1978,,red king crab,western aluetian islands
RR79,1979,,red king crab,western aluetian islands
RR80,1980,adak red king crab,red king crab,western aluetian islands
RR81,1981,adak red king crab,red king crab,western aluetian islands
RR82,1982,adak red king crab,red king crab,western aluetian islands
RR83,1983,,red king crab,western aluetian islands
RR84,1984,,red king crab,western aluetian islands
RR85,1985,,red king crab,western aluetian islands
RR86,1986,,red king crab,western aluetian islands
RR87,1987,,red king crab,western aluetian islands
RR88,1988,adak red king crab,red king crab,western aluetian islands
RR89,1989,adak red king crab,red king crab,western aluetian islands
RR90,1990,adak red king crab,red king crab,western aluetian islands
RR91,1991,adak red king crab,red king crab,western aluetian islands
RR92,1992,adak red king crab,red king crab,western aluetian islands
RR93,1993,adak red king crab,red king crab,western aluetian islands
RR94,1994,adak red king crab,red king crab,western aluetian islands
RR95,1995,adak red king crab,red king crab,western aluetian islands
RT80,1980,,Tanner crab,western aluetian islands
RT81,1981,,Tanner crab,western aluetian islands
RT82,1982,,Tanner crab,western aluetian islands
RT83,1983,,Tanner crab,western aluetian islands
RT84,1984,,Tanner crab,western aluetian islands
RT85,1985,,Tanner crab,western aluetian islands
RT86,1986,,Tanner crab,western aluetian islands
RT87,1987,,Tanner crab,western aluetian islands
RT88,1988,,Tanner crab,western aluetian islands
RT89,1989,,Tanner crab,western aluetian islands
RT90,1990,,Tanner crab,western aluetian islands
RT91,1991,,Tanner crab,western aluetian islands
TB02,2002,bristol bay golden king crab,golden king crab,bristol bay
TB04,2004,bristol bay golden king crab,golden king crab,bristol bay
TD04,2004,north peninsula dungeness,dungeness crab,bristol bay
TD05,2005,north peninsula dungeness,dungeness crab,bristol bay
TD07,2007,north peninsula dungeness,dungeness crab,bristol bay
TD09,2009,north peninsula dungeness,dungeness crab,bristol bay
TD10,2010,north peninsula dungeness,dungeness crab,bristol bay
TD11,2011,north peninsula dungeness,dungeness crab,bristol bay
TD12,2012,north peninsula dungeness,dungeness crab,bristol bay
TD14,2014,north peninsula dungeness,dungeness crab,bristol bay
TD15,2015,north peninsula dungeness,dungeness crab,bristol bay
TD16,2016,north peninsula dungeness,dungeness crab,bristol bay
TD17,2017,north peninsula dungeness crab,dungeness crab,bristol bay
TF99,1999,bristol bay red king crab test fishery,red king crab,bristol bay
TH93,1993,,hair crab,bristol bay
TP81,1981,,blue king crab,bristol bay
TR00,2000,bristol bay red king crab,red king crab,bristol bay
TR01,2001,bristol bay red king crab,red king crab,bristol bay
TR02,2002,bristol bay red king crab,red king crab,bristol bay
TR03,2003,bristol bay red king crab,red king crab,bristol bay
TR04,2004,bristol bay red king crab,red king crab,bristol bay
TR05,2005,bristol bay red king crab,red king crab,bristol bay
TR06,2006,bristol bay red king crab,red king crab,bristol bay
TR07,2007,bristol bay red king crab,red king crab,bristol bay
TR08,2008,bristol bay red king crab,red king crab,bristol bay
TR09,2009,bristol bay red king crab,red king crab,bristol bay
TR10,2010,bristol bay red king crab,red king crab,bristol bay
TR11,2011,bristol bay red king crab,red king crab,bristol bay
TR12,2012,bristol bay red king crab,red king crab,bristol bay
TR13,2013,bristol bay red king crab,red king crab,bristol bay
TR14,2014,bristol bay red king crab,red king crab,bristol bay
TR15,2015,bristol bay red king crab,red king crab,bristol bay
TR16,2016,bristol bay red king crab,red king crab,bristol bay
TR17,2017,bristol bay red king crab,red king crab,bristol bay
TR18,2018,bristol bay red king crab,red king crab,bristol bay
TR19,2019,bristol bay red king crab,red king crab,bristol bay
TR80,1980,bristol bay red king crab,red king crab,bristol bay
TR81,1981,bristol bay red king crab,red king crab,bristol bay
TR82,1982,bristol bay red king crab,red king crab,bristol bay
TR84,1984,bristol bay red king crab,red king crab,bristol bay
TR85,1985,bristol bay red king crab,red king crab,bristol bay
TR86,1986,bristol bay red king crab,red king crab,bristol bay
TR87,1987,bristol bay red king crab,red king crab,bristol bay
TR88,1988,bristol bay red king crab,red king crab,bristol bay
TR89,1989,bristol bay red king crab,red king crab,bristol bay
TR90,1990,bristol bay red king crab,red king crab,bristol bay
TR91,1991,bristol bay red king crab,red king crab,bristol bay
TR92,1992,bristol bay red king crab,red king crab,bristol bay
TR93,1993,bristol bay red king crab,red king crab,bristol bay
TR96,1996,bristol bay red king crab,red king crab,bristol bay
TR97,1997,bristol bay red king crab,red king crab,bristol bay
TR98,1998,bristol bay red king crab,red king crab,bristol bay
TR99,1999,bristol bay red king crab,red king crab,bristol bay
TT06,2006,eastern bering sea tanner crab,Tanner crab,bristol bay
TT07,2007,eastern bering sea tanner crab,Tanner crab,bristol bay
TT08,2008,eastern bering sea tanner crab,Tanner crab,bristol bay
TT09,2009,eastern bering sea tanner crab,Tanner crab,bristol bay
TT13,2013,eastern bering sea tanner crab,Tanner crab,bristol bay
TT14,2014,eastern bering sea tanner crab,Tanner crab,bristol bay
TT15,2015,eastern bering sea tanner crab,Tanner crab,bristol bay
XB01,2001,red king crab sampling during ob01,red king crab,cost recovery
XB02,2002,red king crab sampling during ob02,red king crab,cost recovery
XB04,2004,red king crab sampling during ob04,red king crab,cost recovery
XB05,2005,red king crab sampling during ob05,red king crab,cost recovery
XB06,2006,red king crab sampling during ob06,red king crab,cost recovery
XB07,2007,red king crab sampling during ob07,red king crab,cost recovery
XB08,2008,red king crab sampling during ob08,red king crab,cost recovery
XB09,2009,red king crab sampling during ob09,red king crab,cost recovery
XB10,2010,red king crab sampling during ob10,red king crab,cost recovery
XB11,2011,red king crab sampling during rb11,red king crab,cost recovery
XB12,2012,red king crab sampling during ob/rb12,red king crab,cost recovery
XB13,2013,red king crab sampling during ob/rb13,red king crab,cost recovery
XB14,2014,red king crab sampling during ob/rb14,red king crab,cost recovery
XB15,2015,red king crab sampling during ob/rb15,red king crab,cost recovery
XB16,2016,red king crab sampling during ob16/rb16,red king crab,cost recovery
XB17,2017,red king crab sampling during ob/rb17,red king crab,cost recovery
XE13,2013,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XE14,2014,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XE15,2015,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XE16,2016,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XE17,2017,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XE18,2018,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XE19,2019,eastern aleutians golden king crab cost recovery,golden king crab,cost recovery
XO00,2000,,snow crab,cost recovery
XR06,2006,bristol bay red king crab cost recovery,red king crab,cost recovery
XR07,2007,bristol bay red king crab cost recovery,red king crab,cost recovery
XR09,2009,bristol bay red king crab cost recovery,red king crab,cost recovery
XR10,2010,bristol bay red king crab cost recovery,red king crab,cost recovery
XR11,2011,bristol bay red king crab cost recovery,red king crab,cost recovery
XR12,2012,bristol bay red king crab cost recovery,red king crab,cost recovery
XR13,2013,bristol bay red king crab cost recovery,red king crab,cost recovery
XR14,2014,bristol bay red king crab cost recovery,red king crab,cost recovery
XR15,2015,bristol bay red king crab cost recovery,red king crab,cost recovery
XR16,2016,bristol bay red king crab cost recovery,red king crab,cost recovery
XR17,2017,bristol bay red king crab cost recovery,red king crab,cost recovery
XR18,2018,bristol bay red king crab cost recovery,red king crab,cost recovery
XR19,2019,bristol bay red king crab cost recovery,red king crab,cost recovery
