fishery_code,year,fishery_name,target,management_area
CK98,1998,cdq pribilof red and blue king crab,red and blue king crab,cdq
CO00,2000,bering sea cdq opilio,snow crab,cdq
CO01,2001,bering sea opilio cdq,snow crab,cdq
CO02,2002,bering sea snow crab cdq,snow crab ,cdq
CO03,2003,bering sea cdq snow crab,snow crab ,cdq
CO04,2004,bering sea snow crab cdq,snow crab ,cdq
CO05,2005,bering sea snow crab cdq,snow crab ,cdq
CO98,1998,cdq bering sea opilio fishery,snow crab,cdq
CO99,1999,cdq bering sea opilio,snow crab,cdq
CP98,1998,cdq st mathew fishery,blue king crab,cdq
CR00,2000,cdq bristol bay red king crab,red king crab,cdq
CR01,2001,bristol bay red king crab cdq,red king crab,cdq
CR02,2002,bristol bay red king crab cdq,red king crab,cdq
CR03,2003,bristol bay red king crab cdq,red king crab,cdq
CR04,2004,bristol bay red king crab cdq,red king crab,cdq
CR98,1998,cdq bristol bay red king crab,red king crab,cdq
CR99,1999,cdq bristol bay red king,red king crab,cdq
DG95,1995,yakutat tanneri crab fishery,grooverd Tanner crab,yakutat
EI88,1988,eastern bering sea bairdi crab,tanner crab ,bering sea
EI90,1990,bering sea bairdi crab,tanner crab ,bering sea
EI91,1991,bering sea bairdi crab,tanner crab ,bering sea
EI92,1992,bering sea bairdi crab,tanner crab ,bering sea
EO88,1988,eastern bering sea opilio crab,snow crab,bering sea
EO89,1989,eastern bering sea opilio crab,snow crab,bering sea
EO90,1990,eastern bering sea opilio crab,snow crab,bering sea
EO91,1991,bering sea opilio crab,snow crab,bering sea
EO92,1992,bering sea opilio crab,snow crab,bering sea
EO93,1993,eastern bering sea opilio crab,snow crab,bering sea
KG94,1994,kodiak tanneri,grooverd Tanner crab,kodiak
MG00,2000,south peninsula tanneri,grooverd Tanner crab,alaksa peninsula
MG04,2004,alaska peninsula grooved tanner crab,grooverd Tanner crab,alaksa peninsula
MG17,2017,southern peninsula tanneri,grooverd Tanner crab,alaksa peninsula
MG94,1994,south peninsula tanneri,grooverd Tanner crab,alaksa peninsula
MG95,1995,south peninsula tanneri,grooverd Tanner crab,alaksa peninsula
MG96,1996,alaska peninsula tanneri,grooverd Tanner crab,alaksa peninsula
OA95,1995,dutch harbor angulatus fishery,triange Tanner crab,dutch_ai
OA96,1996,dutch harbor angulatus,triange Tanner crab,dutch_ai
OB00,2000,aleutian islands golden king crab,golden king crab,dutch_ai
OB01,2001,aleutian islands golden king crab,golden king crab,dutch_ai
OB02,2002,aleutian islands golden king crab,golden king crab,dutch_ai
OB03,2003,aleutian islands golden king crab,golden king crab,dutch_ai
OB04,2004,aleutian islands golden king crab,golden king crab,dutch_ai
OB05,2005,aleutian islands golden king crab,golden king crab,dutch_ai
OB06,2006,aleutian islands golden king crab,golden king crab,dutch_ai
OB07,2007,aleutian islands golden king crab,golden king crab,dutch_ai
OB08,2008,aleutian islands golden king crab,golden king crab,dutch_ai
OB09,2009,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB10,2010,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB11,2011,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB12,2012,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB13,2013,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB14,2014,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB15,2015,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB16,2016,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB17,2017,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB18,2018,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB19,2019,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB81,1981,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB82,1982,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB83,1983,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB84,1984,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB85,1985,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB87,1987,eastern aleutian islands golden king crab,golden king crab,dutch_ai
OB88,1988,dutch harbor brown king 1988/1989,golden king crab,dutch_ai
OB89,1989,dutch harbor brown king crab 1989/1990,golden king crab,dutch_ai
OB90,1990,dutch harbor brown king crab 1990/1991,golden king crab,dutch_ai
OB91,1991,dutch harbor brown king crab 1991/1992,golden king crab,dutch_ai
OB92,1992,dutch harbor brown king crab 1992/1993,golden king crab,dutch_ai
OB93,1993,dutch harbor brown king crab 1993/1994,golden king crab,dutch_ai
OB94,1994,dutch harbor king crab 1994/1995,golden king crab,dutch_ai
OB95,1995,aleutian islands golden king crab,golden king crab,dutch_ai
OB96,1996,aleutian islands golden king crab,golden king crab,dutch_ai
OB97,1997,aleutian islands golden king crab,golden king crab,dutch_ai
OB98,1998,aleutian islands golden king crab,golden king crab,dutch_ai
OB99,1999,aleutian islands golden king crab,golden king crab,dutch_ai
OC94,1994,,scarlet king crab,dutch_ai
OC97,1997,,scarlet king crab,dutch_ai
OG01,2001,eastern bering sea tanneri,grooverd Tanner crab,dutch_ai
OG93,1993,,grooverd Tanner crab,dutch_ai
OG94,1994,dutch harbor tanneri,grooverd Tanner crab,dutch_ai
OG95,1995,dutch harbor tanneri,grooverd Tanner crab,dutch_ai
OG96,1996,dutch harbor tanneri,grooverd Tanner crab,dutch_ai
OH98,1998,,hair crab,dutch_ai
OK80,1980,,red and blue king crab,dutch_ai
OR00,2000,petrel bank red king crab,red king crab,dutch_ai
OR01,2001,petrel banks red king crab survey,red king crab,dutch_ai
OR02,2002,petrel bank red king crab,red king crab,dutch_ai
OR03,2003,petrel bank red king crab,red king crab,dutch_ai
OR62,1962,petrel bank red king crab,red king crab,dutch_ai
OR65,1965,petrel bank red king crab,red king crab,dutch_ai
OR70,1970,petrel bank red king crab,red king crab,dutch_ai
OR72,1972,petrel bank red king crab,red king crab,dutch_ai
OR73,1973,petrel bank red king crab,red king crab,dutch_ai
OR74,1974,petrel bank red king crab,red king crab,dutch_ai
OR75,1975,petrel bank red king crab,red king crab,dutch_ai
OR76,1976,petrel bank red king crab,red king crab,dutch_ai
OR77,1977,petrel bank red king crab,red king crab,dutch_ai
OR78,1978,petrel bank red king crab,red king crab,dutch_ai
OR80,1980,petrel bank red king crab,red king crab,dutch_ai
OR81,1981,petrel bank red king crab,red king crab,dutch_ai
OR82,1982,petrel bank red king crab,red king crab,dutch_ai
OT03,2003,dutch harbor tanner crab,Tanner crab,dutch_ai
OT04,2004,dutch harbor tanner crab,Tanner crab,dutch_ai
OT05,2005,dutch harbor tanner crab,Tanner crab,dutch_ai
OT06,2006,dutch harbor tanner crab,Tanner crab,dutch_ai
OT07,2007,dutch harbor tanner crab,Tanner crab,dutch_ai
OT08,2008,dutch harbor tanner crab,Tanner crab,dutch_ai
OT09,2009,dutch harbor tanner crab,Tanner crab,dutch_ai
OT10,2010,dutch harbor tanner crab,Tanner crab,dutch_ai
OT11,2011,dutch harbor tanner crab,Tanner crab,dutch_ai
OT12,2012,dutch harbor tanner crab,Tanner crab,dutch_ai
OT13,2013,dutch harbor tanner crab,Tanner crab,dutch_ai
OT15,2015,dutch harbor tanner crab,Tanner crab,dutch_ai
OT16,2016,dutch harbor tanner crab,Tanner crab,dutch_ai
OT18,2018,dutch harbor tanner crab,Tanner crab,dutch_ai
OT79,1979,dutch harbor tanner crab,Tanner crab,dutch_ai
OT80,1980,dutch harbor tanner crab,Tanner crab,dutch_ai
OT81,1981,dutch harbor tanner crab,Tanner crab,dutch_ai
OT82,1982,dutch harbor tanner crab,Tanner crab,dutch_ai
OT83,1983,dutch harbor tanner crab,Tanner crab,dutch_ai
OT84,1984,dutch harbor tanner crab,Tanner crab,dutch_ai
OT85,1985,dutch harbor tanner crab,Tanner crab,dutch_ai
OT86,1986,dutch harbor tanner crab,Tanner crab,dutch_ai
OT87,1987,dutch harbor tanner crab,Tanner crab,dutch_ai
OT88,1988,dutch harbor tanner crab,Tanner crab,dutch_ai
OT89,1989,dutch harbor tanner crab,Tanner crab,dutch_ai
OT90,1990,dutch harbor tanner crab,Tanner crab,dutch_ai
OT91,1991,dutch harbor tanner crab,Tanner crab,dutch_ai
OT94,1994,dutch harbor tanner crab,Tanner crab,dutch_ai
OU95,1995,dutch harbor octopus fishery,giant pacific octopus,dutch_ai
QA96,1996,,triange Tanner crab,bering sea
QB01,2001,bering sea brown king crab,golden king crab,bering sea
QB02,2002,bering sea golden king crab,golden king crab,bering sea
QB03,2003,bering sea golden king crab,golden king crab,bering sea
QB04,2004,bering sea golden king crab,golden king crab,bering sea
QB05,2005,bering sea golden king crab,golden king crab,bering sea
QB10,2010,bering sea golden king crab,golden king crab,bering sea
QB11,2011,bering sea golden king crab,golden king crab,bering sea
QB12,2012,bering sea golden king crab,golden king crab,bering sea
QB13,2013,pribilof islands golden king crab,golden king crab,bering sea
QB14,2014,pribilof islands golden king crab,golden king crab,bering sea
QB17,2017,pribilof islands golden king crab,golden king crab,bering sea
QB18,2018,pribilof islands golden king crab,golden king crab,bering sea
QB19,2019,pribilof islands golden king crab,golden king crab,bering sea
QB82,1982,pribilof islands golden king crab,golden king crab,bering sea
QB83,1983,pribilof islands golden king crab,golden king crab,bering sea
QB87,1987,pribilof islands golden king crab,golden king crab,bering sea
QB88,1988,pribilof islands golden king crab,golden king crab,bering sea
QB92,1992,bering sea brown king crab,golden king crab,bering sea
QB94,1994,pribilof islands golden king crab,golden king crab,bering sea
QG00,2000,bering sea tanneri,grooverd Tanner crab,bering sea
QG01,2001,bering sea grooved tanner crab,grooverd Tanner crab,bering sea
QG03,2003,bering sea grooved tanner crab,grooverd Tanner crab,bering sea
QG04,2004,bering sea grooved tanner crab,grooverd Tanner crab,bering sea
QG05,2005,bering sea grooved tanner crab,grooverd Tanner crab,bering sea
QG17,2017,bering sea tanneri,grooverd Tanner crab,bering sea
QG92,1992,bering sea grooved tanner crab,grooverd Tanner crab,bering sea
QG93,1993,bering sea grooved tanner crab,grooverd Tanner crab,bering sea
QG94,1994,bering sea tanneri crab,grooverd Tanner crab,bering sea
QG95,1995,bering sea tanneri,grooverd Tanner crab,bering sea
QG96,1996,bering sea tanneri,grooverd Tanner crab,bering sea
QH00,2000,"bering sea hair crab, northern dist.",hair crab,bering sea
QH83,1983,bering sea korean hair crab,hair crab,bering sea
QH92,1992,bering sea korean hair crab,hair crab,bering sea
QH93,1993,bering sea korean hair crab,hair crab,bering sea
QH94,1994,bering sea korean hair crab,hair crab,bering sea
QH95,1995,bering sea korean hair crab,hair crab,bering sea
QH96,1996,"bering sea hair crab, 1996",hair crab,bering sea
